"filename", "language", "XML", "Database", "C#", "JSON", "Properties", "Markdown", "JavaScript", "HTML", "TypeScript", "SCSS", "CSS", "comment", "blank", "total"
"/Users/cihancakir/Desktop/Editor/API/mail/MailSender.cs", "C#", 0, 0, 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 34
"/Users/cihancakir/Desktop/Editor/API/wwwroot/images/embryo-angular/README.md", "Markdown", 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 16, 33
"/Users/cihancakir/Desktop/Editor/API/wwwroot/images/embryo-angular/angular.json", "JSON", 0, 0, 0, 113, 0, 0, 0, 0, 0, 0, 0, 42, 0, 155
"/Users/cihancakir/Desktop/Editor/API/wwwroot/images/embryo-angular/package.json", "JSON", 0, 0, 0, 94, 0, 0, 0, 0, 0, 0, 0, 0, 1, 95
"/Users/cihancakir/Desktop/Editor/API/wwwroot/images/embryo-angular/server.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 21, 0, 0, 23, 10, 54
"/Users/cihancakir/Desktop/Editor/API/wwwroot/images/embryo-angular/src/app/AdminPanel/AdminAccount/Account/Account.component.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 49, 0, 0, 0, 5, 0, 54
"/Users/cihancakir/Desktop/Editor/API/wwwroot/images/embryo-angular/src/app/AdminPanel/AdminAccount/Account/Account.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/cihancakir/Desktop/Editor/API/wwwroot/images/embryo-angular/src/app/AdminPanel/AdminAccount/Account/Account.component.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 5, 16
"/Users/cihancakir/Desktop/Editor/API/wwwroot/images/embryo-angular/src/app/AdminPanel/AdminAccount/AccountSetting/AccountSetting.component.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 50, 0, 0, 0, 4, 0, 54
"/Users/cihancakir/Desktop/Editor/API/wwwroot/images/embryo-angular/src/app/AdminPanel/AdminAccount/AccountSetting/AccountSetting.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
